"DisplayName","ObjectType","RoleDefinitionName","Scope"
"Defender for Containers provisioning ARC k8s Enabled","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Defender for Containers provisioning AKS Security Profile","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Defender for Containers provisioning AKS Security Profile","ServicePrincipal","Log Analytics Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Defender for Containers provisioning Policy extension for Arc-e","ServicePrincipal","Log Analytics Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Defender for Containers provisioning Policy extension for Arc-e","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Defender for Containers provisioning ARC k8s Enabled","ServicePrincipal","Log Analytics Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","Security Admin","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","Defender Kubernetes API Access","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-EnvOps-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"MS-PIM","ServicePrincipal","User Access Administrator","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Service-Now-Production","ServicePrincipal","ServiceNow Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ag-PR-AZW-Prod-EMT-Reader","Group","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001"
"ag-PR-AZW-Prod-EMT-Developer","Group","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001"
"ag-PR-AZW-Prod-Support-Access","Group","Centrica Support Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ag-PR-AZW-Prod-CostAnalysis-Access","Group","Cost Management Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
